trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
116,False,"{'a': 0.24876575448765328, 'e': 0.5359999999999996}",20,0,5.893739294943357,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
117,False,"{'a': 0.24727315996072735, 'e': 0.5319999999999996}",30,6,-62.82712424734601,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 2}",1
118,False,"{'a': 0.245789521000963, 'e': 0.5279999999999996}",25,17,-41.031266909886504,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
119,False,"{'a': 0.2443147838749572, 'e': 0.5239999999999996}",25,0,-106.7973495146559,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
120,False,"{'a': 0.24284889517170746, 'e': 0.5199999999999996}",20,0,-28.66032191830122,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",1
121,False,"{'a': 0.2413918018006772, 'e': 0.5159999999999996}",25,0,-88.19986015202815,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
122,False,"{'a': 0.23994345098987313, 'e': 0.5119999999999996}",20,9,-3.6246292347307465,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.2385037902839339, 'e': 0.5079999999999996}",20,0,4.425487410095452,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
124,False,"{'a': 0.2370727675422303, 'e': 0.5039999999999996}",30,5,-82.34574174997607,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",1
125,False,"{'a': 0.23565033093697693, 'e': 0.49999999999999956}",25,0,1.202683287850432,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
126,False,"{'a': 0.23423642895135507, 'e': 0.49599999999999955}",25,3,-39.647512003741106,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
127,False,"{'a': 0.23283101037764695, 'e': 0.49199999999999955}",20,0,-30.304648167526498,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
128,False,"{'a': 0.23143402431538107, 'e': 0.48799999999999955}",20,3,-3.9462401003047267,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.23004542016948878, 'e': 0.48399999999999954}",20,12,-32.53133886911669,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.22866514764847184, 'e': 0.47999999999999954}",25,14,-0.7792255257156921,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.22729315676258102, 'e': 0.47599999999999953}",25,14,4.282711495959883,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
